,Player,Rk,Tm,Fit,Lwr,Upr,Notes
151,Matt Bonner,55,FA,0.12,-1,1.24,
152,DeJuan Blair,50,FA,0.11,-1.48,1.71,
153,Shayne Whittington,454,FA,0.11,-1.55,1.77,
154,Tyrone Wallace,NA,FA,0.06,-1.12,1.83,
155,Eric Moreland,312,FA,0.05,-1.61,1.71,
156,Russ Smith,405,FA,0.05,-1.61,1.72,
157,Xavier Munford,320,FA,0.05,-1.29,1.39,
158,Erick Green,167,FA,0.04,-1.62,1.7,
159,Bryce Cotton,96,FA,0.03,-1.64,1.69,
160,Chuck Hayes,188,FA,0.03,-1.29,1.36,
161,Gary Neal,324,FA,0.03,-1.69,1.75,
162,Duje Dukan,123,FA,0.02,-1.32,1.36,
163,Jimmer Fredette,144,FA,0.02,-1.87,1.91,
164,Devyn Marble,277,FA,0.01,-1.65,1.67,
165,Jason Thompson,424,FA,0.01,-1.54,1.57,
166,Thanasis Antetokounmpo,20,FA,0.01,-1.34,1.35,
167,Jared Cunningham,103,FA,0,-1.74,1.74,
168,Amar'e Stoudemire,413,FA,-0.01,-1.08,1.07,
169,Keith Appling,23,FA,-0.01,-1.35,1.33,
170,Elijah Millsap,305,FA,-0.04,-1.7,1.62,
171,Andrew Goudelock,162,FA,-0.05,-1.73,1.62,
172,Cameron Bairstow,30,FA,-0.05,-1.71,1.61,
173,Kostas Papanikolaou,342,FA,-0.06,-1.72,1.6,
174,Nate Robinson,376,FA,-0.06,-1.39,1.27,
175,Tony Wroten,470,FA,-0.06,-1.81,1.69,
176,Donald Sloan,398,FA,-0.07,-1.95,1.82,
177,Kirk Hinrich,200,FA,-0.08,-1.34,1.18,
178,Tyler Hansbrough,175,FA,-0.08,-1.67,1.51,
179,Caron Butler,71,FA,-0.09,-1.16,0.99,
180,James Anderson,15,FA,-0.1,-1.99,1.79,
181,Justin Harper,179,FA,-0.1,-1.76,1.56,
182,Marcus Paige,NA,FA,-0.13,-1.18,0.92,
183,Andre Miller,302,FA,-0.14,-1.76,1.49,
184,Carl Landry,255,FA,-0.14,-1.78,1.5,
185,Cleanthony Early,127,FA,-0.14,-1.8,1.52,
186,Alex Stepheson,411,FA,-0.16,-1.5,1.19,
187,Tibor Pleiss,355,FA,-0.17,-1.52,1.17,
188,Drew Gooden,157,FA,-0.18,-1.26,0.9,
189,Ryan Hollins,203,FA,-0.21,-1.67,1.24,
190,Chris Kaman,243,FA,-0.23,-1.48,1.03,
191,Nazr Mohammed,308,FA,-0.23,-2.53,2.07,
192,Mo Williams,463,FA,-0.24,-1.5,1.02,
193,Tayshaun Prince,366,FA,-0.24,-1.32,0.85,
194,Steve Blake,51,FA,-0.3,-1.55,0.96,
195,Chris Copeland,95,FA,-0.31,-2.05,1.44,
196,Sasha Kaun,247,FA,-0.32,-1.66,1.03,
197,Charlie Villanueva,439,FA,-0.34,-1.66,0.99,
198,Kevin Martin,281,FA,-0.34,-1.47,0.78,
199,Kendall Marshall,279,FA,-0.37,-2.11,1.38,
200,Kendrick Perkins,353,FA,-0.37,-1.63,0.89,
201,Norris Cole,90,FA,-0.37,-2.26,1.51,
202,Andrea Bargnani,33,FA,-0.57,-2.03,0.89,
203,Sonny Weems,450,FA,-0.6,-2.34,1.15,
204,Stephen Curry,105,GSW,8.59,5.6,11.58,
205,Kevin Durant,126,GSW,5.7,2.22,9.18,
206,Draymond Green,166,GSW,5.67,3.35,8,
207,Klay Thompson,425,GSW,2.16,-1.02,5.34,
208,David West,451,GSW,1.34,0.07,2.61,
209,Andre Iguodala,214,GSW,1.02,-0.1,2.15,
210,Zaza Pachulia,341,GSW,0.74,-0.53,2.02,
211,James Michael McAdoo,285,GSW,0.26,-1.4,1.92,
212,Kevon Looney,269,GSW,0.22,-1.12,1.56,
213,Shaun Livingston,268,GSW,0.19,-1.14,1.53,
214,Ian Clark,87,GSW,0.11,-1.56,1.79,
215,JaVale McGee,293,GSW,0.09,-1.46,1.65,
216,Anderson Varejao,436,GSW,0.06,-1.06,1.18,
217,Patrick McCaw,NA,GSW,0.04,-0.96,1.82,
218,Phil Pressey,363,FA,0.04,-1.63,1.72,
219,Damian Jones,NA,GSW,0.01,-0.44,0.4,
220,Elliot Williams,460,FA,-0.12,-1.86,1.62,
221,James Harden,177,HOU,6.42,3.63,9.2,
222,Trevor Ariza,24,HOU,1.6,0.47,2.73,
223,Patrick Beverley,46,HOU,1.55,-0.19,3.3,
224,Clint Capela,78,HOU,0.96,-0.71,2.62,
225,Chinanu Onuaku,NA,HOU,0.8,-0.1,3.79,
226,Eric Gordon,160,HOU,0.57,-0.98,2.13,
227,Ryan Anderson,18,HOU,0.35,-1.22,1.92,
228,Nene Hilario,195,HOU,0.23,-0.85,1.3,
229,Montrezl Harrell,180,HOU,0.16,-1.18,1.5,
230,K.J. McDaniels,290,HOU,0.14,-1.52,1.8,
231,Sam Dekker,112,HOU,0.14,-1.2,1.48,
232,Donatas Motiejunas,316,HOU,0.08,-1.66,1.82,
233,Corey Brewer,61,HOU,0.06,-1.58,1.7,
234,Pablo Prigioni,365,HOU,-0.05,-1.83,1.73,
235,Tyler Ennis,132,HOU,-0.06,-1.72,1.6,
236,P.J. Hairston,173,FA,-0.26,-1.92,1.4,
237,Paul George,153,IND,3.84,1.23,6.45,
238,Jeff Teague,417,IND,1.1,-0.49,2.69,
239,Thaddeus Young,474,IND,1.06,-0.58,2.71,
240,Monta Ellis,130,IND,0.83,-0.5,2.16,
241,Lavoy Allen,9,IND,0.52,-1.36,2.41,
242,Myles Turner,433,IND,0.47,-0.87,1.81,
243,Jeremy Evans,133,FA,0.36,-1.36,2.08,
244,C.J. Miles,301,IND,0.29,-1.04,1.62,
245,Al Jefferson,222,IND,0.25,-0.87,1.37,
246,Aaron Brooks,62,IND,-0.02,-1.57,1.54,
247,Rakeem Christmas,86,IND,-0.03,-1.37,1.32,
248,Georges Niang,NA,IND,-0.06,-1.07,1.58,
249,Joseph Young,472,FA,-0.12,-1.46,1.22,
250,Rodney Stuckey,414,IND,-0.14,-1.78,1.5,
251,Glenn Robinson,375,IND,-0.21,-1.47,1.04,
252,Kevin Seraphin,392,IND,-0.35,-2.07,1.37,
253,Chris Paul,348,LAC,5.34,3.49,7.19,
254,DeAndre Jordan,241,LAC,3.55,0.51,6.6,
255,Blake Griffin,171,LAC,2.98,0.4,5.57,
256,J.J. Redick,369,LAC,0.8,-0.66,2.26,
257,Wesley Johnson,235,LAC,0.52,-1.19,2.24,
258,Paul Pierce,354,LAC,0.4,-1.82,2.61,
259,Brandon Bass,37,LAC,0.36,-0.97,1.69,
260,Brice Johnson,NA,LAC,0.31,-0.69,2.36,
261,Raymond Felton,140,LAC,0.18,-1.15,1.5,
262,Austin Rivers,372,LAC,0.08,-1.66,1.82,
263,Luc Mbah a Moute,284,LAC,0.01,-1.55,1.57,
264,Jamal Crawford,100,LAC,-0.1,-1.58,1.39,
265,Diamond Stone,NA,LAC,-0.14,-0.95,0.83,
266,Alan Anderson,14,LAC,-0.16,-1.76,1.44,
267,Marreese Speights,407,LAC,-0.24,-1.79,1.32,
268,Luol Deng,114,LAL,1.29,0.16,2.42,
269,D'Angelo Russell,385,LAL,1.07,-0.28,2.42,
270,Jordan Clarkson,89,LAL,0.8,-0.86,2.46,
271,Lou Williams,461,LAL,0.6,-0.73,1.92,
272,Larry Nance Jr.,322,LAL,0.53,-0.81,1.87,
273,Timofey Mozgov,317,LAL,0.41,-1.31,2.12,
274,Jose Calderon,75,LAL,0.35,-0.98,1.68,
275,Tarik Black,49,LAL,0.13,-1.53,1.79,
276,Thomas Robinson,377,LAL,0.06,-1.68,1.8,
277,Brandon Ingram,NA,LAL,-0.1,-1.15,1.16,
278,Metta World Peace,467,LAL,-0.17,-1.66,1.31,
279,Ivica Zubac,NA,LAL,-0.2,-1.7,1.3,
280,Anthony Brown,63,FA,-0.21,-1.55,1.13,
281,Julius Randle,367,LAL,-0.28,-1.94,1.38,
282,Nick Young,473,LAL,-0.63,-2.26,1.01,
283,Marcelo Huertas,209,LAL,-0.87,-2.23,0.48,
284,Marc Gasol,149,MEM,2.13,0.55,3.7,
285,Chandler Parsons,345,MEM,1.97,0.08,3.86,
286,Mike Conley,93,MEM,1.89,0.25,3.53,
287,Tony Allen,10,MEM,0.7,-0.43,1.82,
288,James Ennis,131,MEM,0.44,-1.22,2.1,
289,Brandan Wright,468,MEM,0.43,-1.12,1.99,
290,Jordan Adams,2,MEM,0.29,-1.37,1.95,
291,Troy Daniels,106,MEM,0.26,-1.42,1.93,
292,Vince Carter,80,MEM,0.19,-2.05,2.42,
293,JaMychal Green,169,MEM,0.17,-1.49,1.83,
294,Jarell Martin,280,MEM,0.13,-1.21,1.47,
295,Zach Randolph,368,MEM,0.11,-1.09,1.32,
296,Deyonta Davis,NA,MEM,0.07,-0.56,1.03,
297,Wade Baldwin,NA,MEM,-0.23,-1.39,0.83,
298,Hassan Whiteside,453,MIA,2.93,0.48,5.37,
299,Justise Winslow,464,MIA,1.56,0.22,2.91,
300,Goran Dragic,120,MIA,1.2,-0.36,2.76,
301,Josh Richardson,371,MIA,0.93,-0.41,2.28,
302,James Johnson,230,MIA,0.68,-0.91,2.27,
303,Tyler Johnson,234,MIA,0.59,-1.07,2.25,
304,Josh McRoberts,296,MIA,0.54,-1.12,2.2,
305,Dion Waiters,444,MIA,0.17,-1.57,1.91,
306,Briante Weber,449,FA,0.12,-1.22,1.46,
307,Willie Reed,370,MIA,0.06,-1.28,1.4,
308,Luke Babbitt,29,MIA,0.04,-1.68,1.75,
309,Derrick Williams,459,MIA,-0.02,-1.91,1.87,
310,Beno Udrih,434,FA,-0.13,-1.25,1,
311,Wayne Ellington,129,MIA,-0.3,-1.89,1.29,
312,Udonis Haslem,186,MIA,-0.39,-1.65,0.87,
313,Giannis Antetokounmpo,19,MIL,3.56,1.11,6.01,
314,Greg Monroe,309,MIL,2.05,0.33,3.77,
315,John Henson,191,MIL,1.13,-0.61,2.87,
316,Michael Carter-Williams,81,CHI,0.77,-0.9,2.45,
317,Mirza Teletovic,418,MIL,0.41,-1.34,2.15,
318,Jabari Parker,343,MIL,0.35,-1.31,2.01,
319,Thon Maker,NA,MIL,0.33,-1.17,1.83,
320,Matthew Dellavedova,113,MIL,0.21,-1.46,1.89,
321,Miles Plumlee,357,MIL,0.11,-1.63,1.86,
322,Jason Terry,420,MIL,0.09,-1.52,1.7,
323,J.J. O'Brien,334,FA,0.07,-1.28,1.41,
324,Orlando Johnson,232,FA,-0.07,-1.74,1.61,
325,Michael Beasley,43,MIL,-0.22,-1.78,1.34,
326,Steve Novak,331,MIL,-0.22,-1.68,1.23,
327,Malcolm Brogdon,NA,MIL,-0.23,-2.14,0.84,
328,Rashad Vaughn,438,MIL,-0.29,-1.63,1.06,
329,Karl-Anthony Towns,430,MIN,4.79,2.36,7.22,
330,Gorgui Dieng,117,MIN,2.2,0.52,3.88,
331,Ricky Rubio,382,MIN,1.66,-1.65,4.98,
332,Cole Aldrich,6,MIN,1.06,-0.66,2.78,
333,Nemanja Bjelica,48,MIN,0.63,-0.72,1.97,
334,Andrew Wiggins,455,MIN,0.45,-1.21,2.11,
335,Zach LaVine,258,MIN,0.43,-1.24,2.09,
336,Jordan Hill,197,MIN,0.28,-1.31,1.87,
337,Tyus Jones,240,MIN,0.14,-1.2,1.48,
338,Rasual Butler,73,FA,0.04,-1.21,1.29,
